"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 12 00:56:31 GMT 2024","Sat Oct 12 00:56:31 GMT 2024","0","tests","header_test","TestHeaderPage","","","Verify if external links in the Header for an authorized user 
            lead to correct pages after click",""
"skipped","Sat Oct 12 00:57:54 GMT 2024","Sat Oct 12 00:57:54 GMT 2024","0","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"skipped","Sat Oct 12 00:58:02 GMT 2024","Sat Oct 12 00:58:02 GMT 2024","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.",""
"broken","Sat Oct 12 00:56:40 GMT 2024","Sat Oct 12 00:56:40 GMT 2024","0","tests","header_test","TestHeaderPage","","","Verify size of the image in the 'Logo' link in the Header for an authorized user",""
"broken","Sat Oct 12 00:57:18 GMT 2024","Sat Oct 12 00:57:18 GMT 2024","0","tests","specialists_page_test","TestSpecialistsPage","","","Verify the composition and visibility of elements 
        on the 1st-6th levels of nesting on the page",""
"broken","Sat Oct 12 00:57:00 GMT 2024","Sat Oct 12 00:57:00 GMT 2024","0","tests","main_page_test","TestMainPage","","","Checking the clickability of the Registration button.",""
"broken","Sat Oct 12 00:56:42 GMT 2024","Sat Oct 12 00:56:42 GMT 2024","0","tests","header_test","TestHeaderPage","","","Verify presence, visibility, attributes of icons in the Header for an authorized user",""
"broken","Sat Oct 12 00:57:53 GMT 2024","Sat Oct 12 00:57:53 GMT 2024","0","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify size of the image in the section 1",""
"skipped","Sat Oct 12 00:55:58 GMT 2024","Sat Oct 12 00:55:58 GMT 2024","0","tests","footer_test","TestFooter","","","Verify Footer invisibility through the modal window with the exercise",""
"broken","Sat Oct 12 00:56:45 GMT 2024","Sat Oct 12 00:56:45 GMT 2024","0","tests","login_page_test","TestLoginPage","","","Test for authorization customer.",""
"broken","Sat Oct 12 00:57:06 GMT 2024","Sat Oct 12 00:57:06 GMT 2024","0","tests","registration_page_test","TestRegistrationPage","","","test_registration_negative[new email and empty confirm password-Auto Test-2023-autotest_N@1728694481.7166216.com-password--error_message1]",""
"broken","Sat Oct 12 00:57:36 GMT 2024","Sat Oct 12 00:57:36 GMT 2024","0","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence and visibility of content on the page",""
"broken","Sat Oct 12 00:56:53 GMT 2024","Sat Oct 12 00:56:53 GMT 2024","0","tests","main_page_test","TestMainPage","","","Verify redirection to specialists page not authorized user.",""
"skipped","Sat Oct 12 00:58:00 GMT 2024","Sat Oct 12 00:58:00 GMT 2024","0","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.",""
"broken","Sat Oct 12 00:56:30 GMT 2024","Sat Oct 12 00:56:30 GMT 2024","0","tests","header_test","TestHeaderPage","","","Verify if internal links in the Header for an authorized user 
            lead to correct pages after click",""
"broken","Sat Oct 12 00:56:48 GMT 2024","Sat Oct 12 00:56:48 GMT 2024","0","tests","main_page_test","TestMainPage","","","Verify redirection to telegram page not authorized user.",""
"broken","Sat Oct 12 00:56:46 GMT 2024","Sat Oct 12 00:56:46 GMT 2024","0","tests","main_page_test","TestMainPage","","","Verify redirection to description page not authorized user.",""
