"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"The Contributors Page","","","0","0","13","0","0"
"Speech exercises.","","","0","0","12","1","0"
"Test Footer","","","0","0","39","0","0"
"Test Specialists Page","","","0","0","13","0","0"
"Test Header","","","0","0","10","0","0"
"Test Used Resources Page","","","0","0","10","0","0"
"The Start Unauthorized Page","","","0","0","11","0","0"
"Test Authorized User Page","","","0","0","2","0","0"
"Test Registration Page","","","0","0","9","0","0"
"Description Page.","","","0","0","8","0","0"
"Main Page.","","","0","0","10","0","0"
"The Contacts Page","","","0","0","11","0","0"
"Test Profile Page","","","0","0","1","0","0"
"Login Page.","","","0","0","1","0","0"
