"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Verify value of the 'en' title of the tab","tests","Tue Mar 10 10:20:24 UTC 2026","passed","Tue Mar 10 10:20:24 UTC 2026","TestGroupsPage","groups_page_test","",""
"","67","Verify presence, visibility and attributes of icons in sections","tests","Tue Mar 10 10:31:55 UTC 2026","failed","Tue Mar 10 10:31:55 UTC 2026","TestURPage","used_resources_page_test","",""
"","1021","Verify clickability, href of links in breadcrumbs on the page","tests","Tue Mar 10 10:14:28 UTC 2026","passed","Tue Mar 10 10:14:29 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","434","Verify clickability, href, status code of the 'All Specialists' link","tests","Tue Mar 10 10:27:08 UTC 2026","passed","Tue Mar 10 10:27:09 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","286","Verify text in cards on the page","tests","Tue Mar 10 10:17:33 UTC 2026","passed","Tue Mar 10 10:17:33 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","25","Verify href of links on the 'ru' local","tests","Tue Mar 10 10:20:59 UTC 2026","passed","Tue Mar 10 10:20:59 UTC 2026","TestGroupsPage","groups_page_test","",""
"","24","Verify attribute 'src' of images in links on the page","tests","Tue Mar 10 10:21:41 UTC 2026","failed","Tue Mar 10 10:21:41 UTC 2026","TestGroupsPage","groups_page_test","",""
"","386","Verify presence, visibility of links, buttons in the Header for an unauthorized user","tests","Tue Mar 10 10:22:05 UTC 2026","passed","Tue Mar 10 10:22:05 UTC 2026","TestHeaderPage","header_test","",""
"","10122","Verify text in group links on the page","tests","Tue Mar 10 10:14:05 UTC 2026","broken","Tue Mar 10 10:14:15 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","10906","Check registration with new email and empty email","tests","Tue Mar 10 10:26:06 UTC 2026","broken","Tue Mar 10 10:26:17 UTC 2026","TestRegistrationPage","registration_page_test","",""
"","1654","Verify that the 'All Specialists' link leads an authorized user 
                         to the correct page after clicking","tests","Tue Mar 10 10:27:18 UTC 2026","passed","Tue Mar 10 10:27:20 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","120","Verify that the email link calls an email client","tests","Tue Mar 10 10:11:58 UTC 2026","passed","Tue Mar 10 10:11:58 UTC 2026","TestContactsPage","contacts_page_test","",""
"","2362","Verify Footer invisibility through the modal window with the exercise","tests","Tue Mar 10 10:19:57 UTC 2026","passed","Tue Mar 10 10:19:59 UTC 2026","TestFooter","footer_test","",""
"","1601","Verify composition, visibility of elements on the 11st-14th levels of nesting on the page","tests","Tue Mar 10 10:16:09 UTC 2026","passed","Tue Mar 10 10:16:10 UTC 2026","TestExercisesRuWordsFamilyPage","exercises_ru_words_family_page_test","",""
"","7623","Verify clickability, href, status code of links in the Header for an authorized user","tests","Tue Mar 10 10:23:08 UTC 2026","failed","Tue Mar 10 10:23:16 UTC 2026","TestHeaderPage","header_test","",""
