"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 11:27:19 GMT 2024","Sat Mar 09 11:27:19 GMT 2024","44","tests","footer_test","TestFooter","","","Verify visible sizes of the JETBRAINS link's image in Footer",""
"passed","Sat Mar 09 11:27:00 GMT 2024","Sat Mar 09 11:27:00 GMT 2024","166","tests","footer_test","TestFooter","","","Verify changes of visible sizes of the ARASAAC link's image in Footer",""
"passed","Sat Mar 09 11:37:55 GMT 2024","Sat Mar 09 11:37:57 GMT 2024","1841","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify that the 'Plants' link leads to the correct page after click",""
"passed","Sat Mar 09 11:28:18 GMT 2024","Sat Mar 09 11:28:18 GMT 2024","136","tests","main_page_test","TestMainPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Sat Mar 09 11:23:55 GMT 2024","Sat Mar 09 11:23:55 GMT 2024","115","tests","description_page_test","TestDescriptionPage","","","Verify return main page from description page.",""
"passed","Sat Mar 09 11:29:37 GMT 2024","Sat Mar 09 11:29:37 GMT 2024","573","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing gender",""
"passed","Sat Mar 09 11:25:55 GMT 2024","Sat Mar 09 11:25:56 GMT 2024","1410","tests","footer_test","TestFooter","","","Verify that the EPAM link in Footer leads to the correct page after click",""
"passed","Sat Mar 09 11:29:41 GMT 2024","Sat Mar 09 11:30:02 GMT 2024","20677","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing agreement",""
"passed","Sat Mar 09 11:27:44 GMT 2024","Sat Mar 09 11:27:44 GMT 2024","2","tests","login_page_test","TestLoginPage","","","Test for authorization customer.",""
"passed","Sat Mar 09 11:27:15 GMT 2024","Sat Mar 09 11:27:15 GMT 2024","61","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the JETBRAINS link's image in Footer",""
"passed","Sat Mar 09 11:30:08 GMT 2024","Sat Mar 09 11:30:38 GMT 2024","30150","tests","Words.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Sat Mar 09 11:29:28 GMT 2024","Sat Mar 09 11:29:29 GMT 2024","623","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty birthday",""
"passed","Sat Mar 09 11:36:59 GMT 2024","Sat Mar 09 11:37:00 GMT 2024","801","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of the section with links on the page",""
"passed","Sat Mar 09 11:37:48 GMT 2024","Sat Mar 09 11:37:49 GMT 2024","1166","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility, clickability, href, status code, text of the 'Plants' link",""
"passed","Sat Mar 09 11:37:28 GMT 2024","Sat Mar 09 11:37:29 GMT 2024","798","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility and accuracy of the icon in the freepik.com link's section",""
"passed","Sat Mar 09 11:25:30 GMT 2024","Sat Mar 09 11:25:32 GMT 2024","1559","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the Selectel link in Footer",""
"passed","Sat Mar 09 11:27:12 GMT 2024","Sat Mar 09 11:27:12 GMT 2024","169","tests","footer_test","TestFooter","","","Verify changes of visible sizes of the EPAM link's image in Footer",""
"passed","Sat Mar 09 11:38:10 GMT 2024","Sat Mar 09 11:38:11 GMT 2024","782","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of the icon in the 'Plants' link's section",""
"passed","Sat Mar 09 11:24:14 GMT 2024","Sat Mar 09 11:24:14 GMT 2024","633","tests","description_page_test","TestDescriptionPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Sat Mar 09 11:32:10 GMT 2024","Sat Mar 09 11:32:19 GMT 2024","8968","tests","Слова Королёвой.","TestCardsRU","","","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.",""
"passed","Sat Mar 09 11:25:26 GMT 2024","Sat Mar 09 11:25:27 GMT 2024","749","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the REG.RU link in Footer",""
"passed","Sat Mar 09 11:37:19 GMT 2024","Sat Mar 09 11:37:22 GMT 2024","2603","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify that the freepik.com link leads to the correct page after click",""
"passed","Sat Mar 09 11:27:51 GMT 2024","Sat Mar 09 11:27:52 GMT 2024","1189","tests","main_page_test","TestMainPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Sat Mar 09 11:38:17 GMT 2024","Sat Mar 09 11:38:17 GMT 2024","782","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of the section with the 'Flora' link on the page",""
"passed","Sat Mar 09 11:36:52 GMT 2024","Sat Mar 09 11:36:53 GMT 2024","821","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility and content accuracy of the text on the page",""
"passed","Sat Mar 09 11:27:38 GMT 2024","Sat Mar 09 11:27:38 GMT 2024","61","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the Selectel link's image in Footer",""
"passed","Sat Mar 09 11:24:23 GMT 2024","Sat Mar 09 11:24:24 GMT 2024","634","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contributors page not authorized user.",""
"passed","Sat Mar 09 11:23:45 GMT 2024","Sat Mar 09 11:23:47 GMT 2024","1057","tests","authorisation_page_test","TestAuthorizedUserPage","","","Checking the possibility of authorization with the correct data",""
"passed","Sat Mar 09 11:33:13 GMT 2024","Sat Mar 09 11:33:22 GMT 2024","9074","tests","Слова с частотной группировкой","TestCardsRU","","","Select a random card from ""Слова с частотной группировкой"" group and compare UI vs BACKEND data.",""
"passed","Sat Mar 09 11:25:03 GMT 2024","Sat Mar 09 11:25:06 GMT 2024","2799","tests","footer_test","TestFooter","","","Verify accuracy of texts in Footer on each page specified in the kit",""
"passed","Sat Mar 09 11:28:22 GMT 2024","Sat Mar 09 11:28:22 GMT 2024","78","tests","main_page_test","TestMainPage","","","Checking the clickability of the Start button.",""
"passed","Sat Mar 09 11:29:33 GMT 2024","Sat Mar 09 11:29:33 GMT 2024","601","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty email",""
"passed","Sat Mar 09 11:27:23 GMT 2024","Sat Mar 09 11:27:23 GMT 2024","168","tests","footer_test","TestFooter","","","Verify changes of visible sizes of the JETBRAINS link's image in Footer",""
"passed","Sat Mar 09 11:37:35 GMT 2024","Sat Mar 09 11:37:35 GMT 2024","791","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of the icon in the freepik.com link's section",""
"passed","Sat Mar 09 11:23:59 GMT 2024","Sat Mar 09 11:24:00 GMT 2024","1271","tests","description_page_test","TestDescriptionPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Sat Mar 09 11:27:30 GMT 2024","Sat Mar 09 11:27:30 GMT 2024","44","tests","footer_test","TestFooter","","","Verify visible sizes of the REG.RU link's image in Footer",""
"passed","Sat Mar 09 11:37:06 GMT 2024","Sat Mar 09 11:37:06 GMT 2024","776","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of the section with the freepik.com link on the page",""
"passed","Sat Mar 09 11:28:05 GMT 2024","Sat Mar 09 11:28:05 GMT 2024","637","tests","main_page_test","TestMainPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Sat Mar 09 11:35:14 GMT 2024","Sat Mar 09 11:36:31 GMT 2024","77275","tests","Слова.","TestCardsRU","","","Solutions to a random task in the ""Слова"" group and comparison of statics.",""
"passed","Sat Mar 09 11:29:16 GMT 2024","Sat Mar 09 11:29:16 GMT 2024","605","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty confirm password",""
"passed","Sat Mar 09 11:26:00 GMT 2024","Sat Mar 09 11:26:01 GMT 2024","1037","tests","footer_test","TestFooter","","","Verify that the JETBRAINS link in Footer leads to the correct page after click",""
"passed","Sat Mar 09 11:27:26 GMT 2024","Sat Mar 09 11:27:26 GMT 2024","63","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the REG.RU link's image in Footer",""
"passed","Sat Mar 09 11:24:36 GMT 2024","Sat Mar 09 11:24:39 GMT 2024","2757","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sat Mar 09 11:24:04 GMT 2024","Sat Mar 09 11:24:06 GMT 2024","1994","tests","description_page_test","TestDescriptionPage","","","Verify redirection to donate page not authorized user.",""
"passed","Sat Mar 09 11:25:18 GMT 2024","Sat Mar 09 11:25:18 GMT 2024","223","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the EPAM link in Footer",""
"passed","Sat Mar 09 11:24:48 GMT 2024","Sat Mar 09 11:24:51 GMT 2024","2700","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sat Mar 09 11:28:30 GMT 2024","Sat Mar 09 11:29:00 GMT 2024","30402","tests","profile_page_test","TestProfilePage","","","Change the password by receiving an email link",""
"passed","Sat Mar 09 11:30:59 GMT 2024","Sat Mar 09 11:31:27 GMT 2024","28758","tests","Similar phrases","TestCardsEN","","","Select a random card from ""Similar phrases"" group and compare UI vs BACKEND data",""
"passed","Sat Mar 09 11:27:48 GMT 2024","Sat Mar 09 11:27:48 GMT 2024","108","tests","main_page_test","TestMainPage","","","Verify redirection to description page not authorized user.",""
"passed","Sat Mar 09 11:24:44 GMT 2024","Sat Mar 09 11:24:47 GMT 2024","2797","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sat Mar 09 11:28:01 GMT 2024","Sat Mar 09 11:28:01 GMT 2024","139","tests","main_page_test","TestMainPage","","","Verify redirection to contacts page not authorized user.",""
"passed","Sat Mar 09 11:24:52 GMT 2024","Sat Mar 09 11:24:54 GMT 2024","2678","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sat Mar 09 11:30:44 GMT 2024","Sat Mar 09 11:30:53 GMT 2024","8581","tests","Check progres-bar and buttons.","TestCardsEN","","","test_progress_bar_is_present_en",""
"passed","Sat Mar 09 11:27:08 GMT 2024","Sat Mar 09 11:27:08 GMT 2024","43","tests","footer_test","TestFooter","","","Verify visible sizes of the EPAM link's image in Footer",""
"passed","Sat Mar 09 11:24:32 GMT 2024","Sat Mar 09 11:24:35 GMT 2024","2677","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sat Mar 09 11:24:10 GMT 2024","Sat Mar 09 11:24:10 GMT 2024","139","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contacts page not authorized user.",""
"passed","Sat Mar 09 11:25:22 GMT 2024","Sat Mar 09 11:25:22 GMT 2024","136","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the JETBRAINS link in Footer",""
